iter	Passed	Remaining
0	4	4728
1	8	4161
2	13	4628
3	17	4355
4	21	4241
5	26	4318
6	29	4225
7	33	4139
8	36	4073
9	40	4008
10	45	4109
11	49	4055
12	52	4003
13	56	3956
14	61	4024
15	64	3988
16	68	3947
17	71	3911
18	77	3976
19	85	4191
20	93	4362
21	98	4372
22	151	6441
23	170	6917
24	186	7270
25	198	7449
26	209	7565
27	217	7564
28	228	7660
29	236	7637
30	266	8325
31	283	8573
32	299	8768
33	314	8938
34	349	9647
35	365	9779
36	377	9828
37	385	9747
38	395	9738
39	401	9628
40	409	9569
41	415	9483
42	423	9426
43	429	9332
44	437	9277
45	442	9183
46	447	9073
47	453	9002
48	459	8920
49	465	8835
50	472	8793
51	477	8709
52	485	8683
53	491	8614
54	501	8624
55	511	8622
56	518	8579
57	524	8515
58	529	8439
59	536	8400
60	542	8350
61	547	8281
62	555	8256
63	560	8194
64	566	8143
65	570	8074
66	574	8006
67	579	7943
68	585	7898
69	589	7836
70	594	7774
71	600	7738
72	604	7678
73	609	7624
74	614	7583
75	620	7546
76	627	7519
77	637	7540
78	642	7488
79	649	7468
80	656	7453
81	665	7446
82	671	7414
83	675	7370
84	682	7341
85	686	7297
86	691	7251
87	698	7240
88	703	7197
89	707	7155
90	714	7134
91	720	7107
92	724	7067
93	731	7045
94	735	7007
95	740	6969
96	746	6950
97	753	6932
98	788	7180
99	800	7203
100	812	7234
101	835	7359
102	848	7385
103	862	7426
104	873	7444
105	916	7729
106	929	7759
107	947	7822
108	960	7853
109	981	7938
110	996	7978
111	1009	8005
112	1019	8002
113	1028	7995
114	1041	8014
115	1053	8026
116	1062	8018
117	1067	7981
118	1075	7959
119	1081	7929
120	1086	7891
121	1095	7881
122	1102	7863
123	1117	7896
124	1127	7890
125	1144	7935
126	1150	7908
127	1160	7903
128	1165	7872
129	1173	7852
130	1178	7815
131	1182	7778
132	1191	7769
133	1197	7739
134	1203	7708
135	1208	7679
136	1213	7644
137	1217	7603
138	1222	7571
139	1228	7544
140	1231	7505
141	1240	7493
142	1244	7459
143	1248	7420
144	1254	7396
145	1259	7366
146	1263	7330
147	1268	7300
148	1271	7263
149	1275	7227
150	1278	7191
151	1283	7159
152	1287	7125
153	1290	7091
154	1294	7058
155	1298	7027
156	1302	6993
157	1305	6959
158	1309	6926
159	1312	6892
160	1317	6867
161	1321	6837
162	1325	6807
163	1329	6776
164	1335	6759
165	1339	6732
166	1344	6705
167	1350	6689
168	1355	6667
169	1360	6641
170	1367	6628
171	1374	6614
172	1381	6605
173	1387	6587
174	1393	6569
175	1400	6556
176	1407	6544
177	1414	6532
178	1420	6516
179	1426	6498
180	1434	6489
181	1440	6472
182	1445	6453
183	1450	6434
184	1455	6413
185	1459	6387
186	1464	6365
187	1467	6339
188	1471	6313
189	1474	6287
190	1480	6270
191	1484	6246
192	1487	6221
193	1491	6195
194	1496	6176
195	1499	6153
196	1503	6127
197	1506	6103
198	1511	6085
199	1515	6061
200	1518	6037
201	1522	6013
202	1526	5994
203	1530	5971
204	1534	5952
205	1538	5930
206	1543	5913
207	1547	5890
208	1550	5868
209	1554	5846
210	1558	5828
211	1563	5811
212	1566	5789
213	1570	5768
214	1575	5751
215	1578	5730
216	1582	5709
217	1585	5688
218	1590	5670
219	1593	5649
220	1596	5629
221	1600	5608
222	1605	5592
223	1608	5573
224	1612	5554
225	1615	5534
226	1619	5515
227	1624	5499
228	1627	5480
229	1631	5460
230	1634	5442
231	1639	5426
232	1642	5408
233	1646	5389
234	1650	5373
235	1655	5359
236	1660	5344
237	1663	5326
238	1667	5308
239	1672	5295
240	1675	5277
241	1679	5259
242	1682	5241
243	1686	5226
244	1690	5209
245	1693	5191
246	1697	5174
247	1701	5158
248	1705	5142
249	1708	5125
250	1711	5108
251	1715	5091
252	1720	5078
253	1724	5064
254	1727	5048
255	1731	5031
256	1736	5019
257	1741	5008
258	1746	4995
259	1751	4985
260	1755	4969
261	1758	4953
262	1762	4938
263	1766	4925
264	1771	4913
265	1775	4898
266	1778	4882
267	1782	4869
268	1786	4854
269	1789	4839
270	1793	4824
271	1796	4809
272	1800	4795
273	1804	4781
274	1807	4766
275	1811	4752
276	1816	4740
277	1819	4726
278	1823	4712
279	1826	4697
280	1831	4685
281	1835	4673
282	1839	4659
283	1842	4645
284	1847	4635
285	1851	4622
286	1854	4608
287	1858	4594
288	1862	4582
289	1867	4572
290	1870	4558
291	1875	4546
292	1880	4537
293	1884	4526
294	1889	4514
295	1893	4504
296	1898	4494
297	1903	4482
298	1907	4471
299	1914	4466
300	1918	4454
301	1922	4442
302	1929	4437
303	1933	4426
304	1937	4415
305	1943	4407
306	1947	4396
307	1951	4385
308	1955	4373
309	1960	4363
310	1965	4354
311	1970	4345
312	1976	4337
313	1979	4325
314	1983	4312
315	1986	4300
316	1989	4287
317	1994	4277
318	1998	4265
319	2001	4253
320	2004	4240
321	2009	4231
322	2013	4219
323	2016	4207
324	2020	4196
325	2025	4187
326	2029	4175
327	2032	4164
328	2035	4152
329	2040	4143
330	2044	4131
331	2047	4120
332	2051	4108
333	2055	4099
334	2060	4089
335	2064	4079
336	2067	4068
337	2072	4059
338	2076	4048
339	2079	4037
340	2083	4025
341	2086	4015
342	2090	4005
343	2094	3994
344	2097	3983
345	2101	3972
346	2106	3963
347	2109	3952
348	2113	3942
349	2116	3931
350	2121	3923
351	2125	3912
352	2128	3901
353	2132	3890
354	2136	3882
355	2140	3871
356	2143	3860
357	2147	3850
358	2151	3841
359	2156	3834
360	2160	3824
361	2164	3813
362	2168	3805
363	2172	3795
364	2176	3786
365	2181	3778
366	2185	3770
367	2189	3760
368	2192	3749
369	2196	3739
370	2201	3731
371	2204	3721
372	2208	3711
373	2211	3701
374	2215	3692
375	2221	3685
376	2224	3676
377	2228	3666
378	2233	3659
379	2236	3649
380	2240	3639
381	2243	3629
382	2247	3620
383	2251	3611
384	2254	3601
385	2258	3591
386	2261	3582
387	2266	3574
388	2270	3566
389	2274	3557
390	2277	3547
391	2282	3539
392	2285	3530
393	2290	3522
394	2294	3513
395	2298	3506
396	2302	3497
397	2305	3487
398	2309	3478
399	2314	3471
400	2317	3461
401	2321	3453
402	2324	3443
403	2329	3436
404	2333	3428
405	2337	3419
406	2340	3410
407	2345	3402
408	2348	3393
409	2352	3385
410	2355	3376
411	2361	3370
412	2366	3363
413	2370	3355
414	2375	3348
415	2381	3342
416	2385	3335
417	2390	3327
418	2396	3322
419	2400	3315
420	2404	3307
421	2411	3302
422	2415	3294
423	2418	3285
424	2422	3277
425	2428	3272
426	2432	3264
427	2437	3256
428	2442	3250
429	2446	3242
430	2450	3235
431	2455	3228
432	2460	3221
433	2464	3214
434	2468	3205
435	2471	3196
436	2476	3190
437	2479	3181
438	2483	3173
439	2486	3164
440	2491	3157
441	2494	3149
442	2498	3140
443	2502	3134
444	2507	3127
445	2511	3119
446	2514	3111
447	2518	3103
448	2523	3096
449	2526	3088
450	2530	3079
451	2533	3071
452	2537	3063
453	2541	3056
454	2544	3048
455	2548	3039
456	2551	3032
457	2556	3025
458	2561	3018
459	2565	3011
460	2571	3006
461	2574	2998
462	2578	2990
463	2581	2982
464	2584	2974
465	2589	2967
466	2593	2959
467	2596	2951
468	2600	2943
469	2605	2937
470	2608	2929
471	2612	2922
472	2615	2914
473	2620	2907
474	2623	2899
475	2628	2893
476	2632	2886
477	2636	2879
478	2640	2871
479	2643	2864
480	2647	2856
481	2652	2850
482	2655	2842
483	2659	2834
484	2662	2827
485	2667	2820
486	2671	2814
487	2675	2806
488	2678	2799
489	2683	2792
490	2686	2785
491	2690	2777
492	2693	2770
493	2697	2762
494	2702	2756
495	2707	2751
496	2710	2743
497	2715	2737
498	2719	2730
499	2722	2722
500	2726	2715
501	2734	2712
502	2743	2710
503	2758	2714
504	2768	2713
505	2777	2711
506	2792	2715
507	2803	2715
508	2815	2715
509	2821	2711
510	2828	2706
511	2834	2701
512	2842	2698
513	2852	2696
514	2858	2692
515	2870	2692
516	2883	2694
517	2898	2697
518	2920	2706
519	2935	2709
520	2946	2709
521	2970	2720
522	2980	2718
523	3030	2752
524	3040	2751
525	3070	2767
526	3083	2767
527	3095	2767
528	3154	2808
529	3165	2807
530	3178	2807
531	3185	2801
532	3190	2795
533	3196	2789
534	3201	2782
535	3206	2776
536	3213	2770
537	3217	2763
538	3223	2757
539	3228	2750
540	3233	2743
541	3237	2735
542	3246	2732
543	3250	2724
544	3256	2718
545	3261	2711
546	3266	2704
547	3274	2700
548	3280	2694
549	3285	2687
550	3292	2683
551	3304	2681
552	3314	2679
553	3321	2674
554	3328	2668
555	3333	2661
556	3339	2655
557	3345	2649
558	3349	2642
559	3358	2638
560	3363	2631
561	3372	2628
562	3378	2622
563	3386	2617
564	3394	2613
565	3405	2610
566	3409	2603
567	3414	2596
568	3423	2593
569	3429	2587
570	3438	2583
571	3445	2577
572	3452	2572
573	3460	2568
574	3480	2572
575	3493	2571
576	3509	2572
577	3517	2568
578	3530	2566
579	3537	2561
580	3544	2556
581	3550	2550
582	3557	2544
583	3563	2538
584	3568	2531
585	3576	2526
586	3582	2520
587	3589	2514
588	3595	2509
589	3602	2503
590	3608	2497
591	3614	2491
592	3620	2484
593	3626	2478
594	3631	2471
595	3636	2465
596	3644	2459
597	3648	2452
598	3652	2445
599	3658	2438
600	3664	2432
601	3669	2426
602	3675	2419
603	3681	2413
604	3687	2407
605	3692	2400
606	3697	2393
607	3702	2387
608	3710	2382
609	3715	2375
610	3720	2368
611	3724	2361
612	3727	2353
613	3731	2345
614	3736	2339
615	3742	2332
616	3746	2325
617	3752	2319
618	3756	2312
619	3761	2305
620	3765	2298
621	3772	2292
622	3778	2286
623	3783	2279
624	3787	2272
625	3791	2265
626	3796	2258
627	3802	2252
628	3807	2245
629	3811	2238
630	3817	2232
631	3821	2225
632	3825	2217
633	3828	2210
634	3832	2203
635	3837	2196
636	3841	2189
637	3844	2181
638	3849	2174
639	3853	2167
640	3856	2160
641	3860	2152
642	3864	2145
643	3868	2138
644	3872	2131
645	3875	2123
646	3879	2116
647	3883	2109
648	3887	2102
649	3890	2095
650	3894	2087
651	3899	2081
652	3902	2073
653	3906	2066
654	3910	2059
655	3917	2054
656	3923	2048
657	3928	2041
658	3933	2035
659	3937	2028
660	3943	2022
661	3951	2017
662	3956	2010
663	3961	2004
664	3966	1998
665	3970	1991
666	3979	1986
667	3983	1980
668	3987	1972
669	3991	1965
670	3995	1959
671	3999	1952
672	4003	1945
673	4007	1938
674	4012	1931
675	4016	1925
676	4020	1917
677	4023	1910
678	4028	1904
679	4032	1897
680	4037	1891
681	4041	1884
682	4045	1877
683	4049	1870
684	4052	1863
685	4056	1856
686	4060	1850
687	4064	1843
688	4068	1836
689	4072	1829
690	4076	1822
691	4080	1816
692	4084	1809
693	4087	1802
694	4092	1795
695	4095	1788
696	4099	1781
697	4102	1775
698	4107	1768
699	4112	1762
700	4115	1755
701	4119	1748
702	4124	1742
703	4128	1735
704	4132	1729
705	4135	1722
706	4140	1715
707	4143	1709
708	4147	1702
709	4150	1695
710	4155	1689
711	4159	1682
712	4162	1675
713	4166	1669
714	4171	1662
715	4175	1656
716	4178	1649
717	4182	1642
718	4186	1636
719	4190	1629
720	4193	1622
721	4198	1616
722	4203	1610
723	4208	1604
724	4212	1597
725	4215	1591
726	4220	1585
727	4225	1578
728	4228	1571
729	4232	1565
730	4237	1559
731	4240	1552
732	4244	1545
733	4247	1539
734	4252	1533
735	4255	1526
736	4259	1519
737	4262	1513
738	4266	1506
739	4270	1500
740	4273	1493
741	4277	1487
742	4280	1480
743	4285	1474
744	4289	1468
745	4292	1461
746	4296	1455
747	4301	1449
748	4304	1442
749	4308	1436
750	4312	1429
751	4316	1423
752	4321	1417
753	4324	1411
754	4328	1404
755	4333	1398
756	4336	1392
757	4340	1385
758	4344	1379
759	4348	1373
760	4352	1366
761	4355	1360
762	4359	1354
763	4363	1347
764	4367	1341
765	4371	1335
766	4375	1329
767	4378	1322
768	4384	1316
769	4387	1310
770	4391	1304
771	4394	1297
772	4398	1291
773	4402	1285
774	4405	1279
775	4410	1273
776	4415	1267
777	4423	1262
778	4428	1256
779	4434	1250
780	4439	1244
781	4444	1239
782	4449	1233
783	4455	1227
784	4461	1221
785	4465	1215
786	4469	1209
787	4473	1203
788	4479	1197
789	4483	1191
790	4487	1185
791	4492	1179
792	4495	1173
793	4499	1167
794	4502	1161
795	4506	1154
796	4510	1148
797	4514	1142
798	4517	1136
799	4521	1130
800	4526	1124
801	4530	1118
802	4534	1112
803	4537	1106
804	4542	1100
805	4545	1094
806	4549	1088
807	4553	1081
808	4557	1076
809	4560	1069
810	4564	1063
811	4567	1057
812	4571	1051
813	4575	1045
814	4579	1039
815	4582	1033
816	4586	1027
817	4590	1021
818	4594	1015
819	4597	1009
820	4601	1003
821	4606	997
822	4609	991
823	4613	985
824	4616	979
825	4620	973
826	4625	967
827	4628	961
828	4632	955
829	4636	949
830	4640	943
831	4643	937
832	4647	931
833	4650	925
834	4654	919
835	4658	913
836	4661	907
837	4665	901
838	4669	896
839	4674	890
840	4678	884
841	4681	878
842	4686	872
843	4690	866
844	4693	860
845	4696	854
846	4701	849
847	4705	843
848	4708	837
849	4712	831
850	4715	825
851	4720	819
852	4723	814
853	4727	808
854	4730	802
855	4735	796
856	4739	790
857	4743	785
858	4746	779
859	4750	773
860	4754	767
861	4757	761
862	4761	755
863	4764	750
864	4768	744
865	4772	738
866	4775	732
867	4779	726
868	4783	721
869	4787	715
870	4791	709
871	4795	703
872	4800	698
873	4803	692
874	4808	686
875	4813	681
876	4817	675
877	4820	669
878	4824	664
879	4827	658
880	4832	652
881	4836	647
882	4840	641
883	4843	635
884	4848	629
885	4851	624
886	4854	618
887	4858	612
888	4862	607
889	4866	601
890	4869	595
891	4873	590
892	4877	584
893	4881	578
894	4884	573
895	4888	567
896	4892	561
897	4896	556
898	4900	550
899	4903	544
900	4907	539
901	4912	533
902	4916	528
903	4921	522
904	4926	517
905	4932	511
906	4943	506
907	4990	505
908	5021	502
909	5034	497
910	5045	492
911	5052	487
912	5059	482
913	5065	476
914	5069	470
915	5080	465
916	5089	460
917	5096	455
918	5130	452
919	5166	449
920	5183	444
921	5192	439
922	5199	433
923	5208	428
924	5216	422
925	5227	417
926	5236	412
927	5243	406
928	5251	401
929	5265	396
930	5276	391
931	5281	385
932	5343	383
933	5356	378
934	5413	376
935	5430	371
936	5444	366
937	5530	365
938	5592	363
939	5604	357
940	5613	351
941	5631	346
942	5641	341
943	5648	335
944	5657	329
945	5662	323
946	5674	317
947	5687	311
948	5694	306
949	5708	300
950	5713	294
951	5723	288
952	5728	282
953	5737	276
954	5742	270
955	5748	264
956	5755	258
957	5761	252
958	5772	246
959	5788	241
960	5793	235
961	5803	229
962	5816	223
963	5824	217
964	5855	212
965	5870	206
966	5880	200
967	5891	194
968	5905	188
969	5915	182
970	5923	176
971	5931	170
972	5936	164
973	5945	158
974	5950	152
975	5955	146
976	5964	140
977	5970	134
978	5979	128
979	5984	122
980	5989	116
981	5998	109
982	6010	103
983	6019	97
984	6028	91
985	6036	85
986	6045	79
987	6053	73
988	6064	67
989	6069	61
990	6078	55
991	6085	49
992	6109	43
993	6127	36
994	6146	30
995	6162	24
996	6187	18
997	6203	12
998	6223	6
999	6245	0
