iter	Logloss
0	0.6310215028
1	0.587691834
2	0.5491315725
3	0.5194110965
4	0.4940796405
5	0.4751447504
6	0.4580153995
7	0.4458963161
8	0.4376283865
9	0.4304116602
10	0.4232881509
11	0.4162626729
12	0.4086824531
13	0.402738373
14	0.3985031431
15	0.3931363517
16	0.3897821522
17	0.3870308238
18	0.3819847609
19	0.378466626
20	0.375696082
21	0.3726865111
22	0.370384524
23	0.368381786
24	0.3661133876
25	0.3631744082
26	0.3608372879
27	0.3585027401
28	0.3565964533
29	0.3546797809
30	0.3532581955
31	0.3515432605
32	0.349857173
33	0.3480844636
34	0.3468018757
35	0.3459161034
36	0.3440938129
37	0.3428123234
38	0.3413595269
39	0.340258523
40	0.3385823316
41	0.3367708639
42	0.3355261161
43	0.3346183777
44	0.3337811374
45	0.3324232861
46	0.3313143468
47	0.3302378544
48	0.32872299
49	0.3275908606
50	0.3265097538
51	0.3251857775
52	0.324183436
53	0.3231407612
54	0.3220701923
55	0.3210220232
56	0.3196702801
57	0.3184103056
58	0.3174316147
59	0.3158982975
60	0.3146941347
61	0.3137259375
62	0.3125436671
63	0.3113623321
64	0.3108053304
65	0.3094767053
66	0.3086215358
67	0.3080907468
68	0.3072104496
69	0.3058813845
70	0.3043233459
71	0.3034492293
72	0.3025201106
73	0.3016843196
74	0.3006508641
75	0.2995841881
76	0.2982800561
77	0.2975886478
78	0.2963726999
79	0.2956140035
80	0.295061875
81	0.2943737696
82	0.2936220686
83	0.2924120881
84	0.2915913098
85	0.2906481836
86	0.289730222
87	0.2887144638
88	0.2878977739
89	0.287121903
90	0.2860781585
91	0.2854939658
92	0.2846161094
93	0.283748715
94	0.2829595636
95	0.2817923447
96	0.2807307439
97	0.2796630234
98	0.279004825
99	0.2783472632
