iter	Passed	Remaining
0	4	425
1	8	403
2	12	395
3	16	391
4	20	388
5	25	392
6	29	386
7	33	380
8	37	375
9	41	373
10	45	369
11	49	364
12	53	357
13	57	351
14	61	345
15	64	340
16	68	335
17	73	333
18	77	329
19	81	324
20	84	319
21	88	314
22	92	310
23	96	305
24	100	300
25	103	295
26	107	291
27	111	287
28	115	282
29	119	277
30	123	274
31	126	269
32	133	270
33	137	267
34	141	263
35	145	258
36	150	255
37	153	250
38	157	246
39	161	242
40	165	237
41	168	233
42	172	228
43	176	224
44	180	220
45	183	215
46	187	211
47	191	207
48	195	203
49	199	199
50	202	194
51	206	190
52	210	186
53	213	182
54	217	178
55	222	174
56	226	170
57	231	167
58	235	163
59	240	160
60	244	156
61	249	152
62	255	149
63	259	145
64	263	141
65	269	139
66	275	135
67	281	132
68	286	128
69	290	124
70	294	120
71	298	115
72	302	111
73	305	107
74	309	103
75	313	98
76	317	94
77	321	90
78	324	86
79	329	82
80	333	78
81	338	74
82	342	70
83	347	66
84	352	62
85	356	58
86	361	53
87	365	49
88	370	45
89	374	41
90	379	37
91	383	33
92	392	29
93	405	25
94	426	22
95	437	18
96	450	13
97	460	9
98	475	4
99	484	0
